Cascade Draft League,Challengers Div 1,Season 9,Gibby Gibles,Komala,Illumise
Corn's Draft League,Main,Season 1,King Groudon,Torkoal,Mamoswine
Corn's Draft League,Main,Season 1,Soaked Skittys,Vanilluxe,Sharpedo
Cascade Draft League,Challengers Div 2,Season 9,Sugar Sweet Sylveons,Kangaskhan-Mega,Banette-Mega
Cascade Draft League,Challengers Div 1,Season 9,Kinghts of Wailord,Hariyama,Palossand
Corn's Draft League,Main,Season 1,King Groudon,Medicham,Drapion
Cascade Draft League,Challengers Div 2,Season 9,Baltimore Oricorios,Landorus,Kingdra
Corn's Draft League,Main,Season 1,Dallas Glastriers,Blaziken,Pelipper
Corn's Draft League,Main,Season 1,King Groudon,Slowbro,Togekiss
Corn's Draft League,Main,Season 1,King Groudon,Victini,Hippowdon
Corn's Draft League,Main,Season 1,Absolute Victory,Wailord,Lopunny
Corn's Draft League,Main,Season 1,King Groudon,Mamoswine,Tapu Bulu
Corn's Draft League,Main,Season 1,Absolute Victory,Steelix,Dubwool
All Star Premier League,SS National Dex,Season 5,Doomphants,Rotom-Frost,Dodrio
ALPH,Fisheous Rend Go Brrr,Season 11,Liberty Delibirds,Venusaur,Houndoom
Moon Lake Draft,Main,The Second,London ludicolos,Blacephalon,Victini
Moon Lake Draft,Main,The Second,Dallas Starmies,Registeel,Weezing-Galar
Moon Lake Draft,Main,The Second,London ludicolos,Articuno,Torkoal
Heatmor Feeding Grounds,Main,Season 2,Primarina Sonata,Xurkitree,Rotom-Heat
Heatmor Feeding Grounds,Main,Season 2,Falinks Engineering,Falinks,Raboot
Moon Lake Draft,Main,The Second,Dallas Starmies,Charizard,Scrafty
ALPH,Fisheous Rend Go Brrr,Season 11,Liberty Delibirds,Houndoom-Mega,Absol-Mega
ALPH,Fisheous Rend Go Brrr,Season 11,Liberty Delibirds,Hoopa,Sylveon
ALPH,Fisheous Rend Go Brrr,Season 11,Liberty Delibirds,Suicune,Azelf
Cascade Draft League,Masters,Season 9,Vegas Night Marchers,Rotom-Fan,Tropius
Cascade Draft League,Challengers Div 1,Season 9,Smog Frogs,Doublade,Forretress
Cascade Draft League,Challengers Div 2,Season 9,New York Yanmegas,Pangoro,Hariyama
All Star Premier League,SS LC,Season 5,New York Koffing,Munna,Joltik
Ever Grande Draft League,Main,Season 1,Montana Meganiums,Corsola-Galar,Cursola
Cascade Draft League,Challengers Div 1,Season 9,Detroit Lycanrocs,Uxie,Cobalion
Corn's Draft League,Main,Season 1,King Groudon,Clefable,Magearna
Cascade Draft League,Masters,Season 9,Shadows' Stallions,Accelgor,Rampardos
COVID Lockdown Fast Draft,Main,Season 2,Puerto Rico Stuffuls,Altaria-Mega,Kangaskhan-Mega
Ever Grande Draft League,Main,Season 1,Dutchland dracos,Weezing-Galar,Doublade
Ever Grande Draft League,Main,Season 1,Seattle Seismitoads,Doublade,Donphan
Corn's Draft League,Main,Season 1,Los Angeles Rampardos,Magneton,Crobat
All Star Premier League,SS Tier 3 and Below,Season 5,Alberta Altaria,Xatu,Leafeon
Corn's Draft League,Main,Season 1,Absolute Victory,Lopunny,Vanilluxe
COVID Lockdown Fast Draft,Main,Season 2,Puerto Rico Stuffuls,Espeon,Sigilyph
Cascade Draft League,Challengers Div 2,Season 9,Baltimore Oricorios,Gyarados-Mega,Diancie-Mega
COVID Lockdown Fast Draft,Main,Season 2,Claremont Saws,Lycanroc,Duraludon
COVID Lockdown Fast Draft,Main,Season 2,Winterfell Zacian,Cofagrigus,Runerigus
Ever Grande Draft League,Main,Season 1,Chicago Chandeluers,Gigalith,Tentacruel
COVID Lockdown Fast Draft,Main,Season 2,High Tier Shuckles,Audino,Regice
Cascade Draft League,Challengers Div 2,Season 9,Baltimore Oricorios,Ambipom,Palossand
All Star Premier League,ORAS Standard,Season 5,Joey,Cobalion,Registeel
Corn's Draft League,Main,Season 1,King Groudon,Miltank,Roserade
All Star Premier League,SS National Dex,Season 5,44th's Fire Blasts,Aromatisse,Diancie
Ever Grande Draft League,Main,Season 1,Seattle Seismitoads,Nidoking,Zoroark
Corn's Draft League,Main,Season 1,Los Angeles Rampardos,Greninja,Hawlucha
Moon Lake Draft,Main,The Second,Burning Reshirams,Type:Null,Aggron
Heatmor Feeding Grounds,Main,Season 2,Ori and the Will-O-Wisps,Flygon,Regice
Heatmor Feeding Grounds,Main,Season 2,Ori and the Will-O-Wisps,Mimikyu,Ribombee
Moon Lake Draft,Main,The Second,Burning Reshirams,Araquanid,Ribombee
Corn's Draft League,Main,Season 1,SoCal Stakatakas,Palossand,Mismagius
Corn's Draft League,Main,Season 1,Dallas Glastriers,Gyarados-Mega,Swampert-Mega
Moon Lake Draft,Main,The Second,Burning Reshirams,Gengar,Rotom-Wash
Corn's Draft League,Main,Season 1,King Groudon,Slowking-Galar,Zygarde-10%
Moon Lake Draft,Main,The Second,Burning Reshirams,Machamp,Magmortar
All Star Premier League,SS National Dex,Season 5,Vegas Night Marchers,Skarmory,Tyranitar
Corn's Draft League,Main,Season 1,Baltimore Corviknights,Drapion,Escavalier
Moon Lake Draft,Main,The Second,Vancouver Whiscash's,Thundurus-Therian,Toxtricity
Corn's Draft League,Main,Season 1,Boston Red Sawks,Venusaur-Mega,Tyranitar-Mega
All Star Premier League,SS Tier 3 and Below,Season 5,Bran Flakes,Miltank,Sableye
All Star Premier League,ORAS Standard,Season 5,Colombia Clangers,Moltres,Blaziken
Ever Grande Draft League,Main,Season 1,Seattle Seismitoads,Cryogonal,Qwilfish
All Star Premier League,ORAS Standard,Season 5,Joey,Rotom-Mow,Eelektross
Corn's Draft League,Main,Season 1,King Groudon,Abomasnow-Mega,Sableye-Mega
Moon Lake Draft,Main,The Second,San Jose Shedinja’s,Appletun,Lanturn
Moon Lake Draft,Main,The Second,Dallas Starmies,Terrakion,Darmanitan-Galar
Heatmor Feeding Grounds,Main,Season 2,Goldeen Experience Requiem,Swellow,Galvantula
Heatmor Feeding Grounds,Main,Season 2,Goldeen Experience Requiem,Drapion,Garbodor
Heatmor Feeding Grounds,Main,Season 2,Primarina Sonata,Porygon2,Heliolisk
All Star Premier League,SS National Dex,Season 5,Vegas Night Marchers,Archeops,Stoutland
