Cascade Draft League,Masters,Season 7,La Tuque's Xatus,Krookodile,Obstagoon
Cascade Draft League,Masters,Season 7,San Antonio Espurrs,Obstagoon,Krookodile
Cascade Draft League,Masters,Season 7,Whiscash Wanderers,Aromatisse,Slurpuff
Cascade Draft League,Masters,Season 7,Pillars of Tahoma,Slurpuff,Aromatisse
Cascade Draft League,Masters,Season 7,Vegas Night Marchers,Ludicolo,Decidueye
Cascade Draft League,Masters,Season 7,Team Bcool Dguys,Decidueye,Ludicolo
Cascade Draft League,Masters,Season 7,Vegas Night Marchers,Weavile,Infernape
Cascade Draft League,Masters,Season 7,Primarina Sonata,Infernape,Weavile
Cascade Draft League,Masters,Season 7,Vegas Night Marchers,Salazzle,Greninja
Cascade Draft League,Masters,Season 7,Primarina Sonata,Greninja,Salazzle
Cascade Draft League,Masters,Season 7,Whiscash Wanderers,Wigglytuff,Aromatisse
Cascade Draft League,Masters,Season 7,44th's Fire Blasts,Aromatisse,Wigglytuff
All Star Premier League,SS T3 & Below,Season 3,Colombia Clangers,Gligar,Rotom-Mow
All Star Premier League,SS Galar Dex,Season 3,Colorado Mamoswine,Excadrill,Kommo-o
All Star Premier League,SS Galar Dex,Season 3,St. John's Sharpedos,Kommo-o,Excadrill
All Star Premier League,SS Galar Dex,Season 3,Gainesville Grimmsnarl,Umbreon,Sylveon
All Star Premier League,SS Galar Dex,Season 3,Atlanta Azelfs,Sylveon,Umbreon
All Star Premier League,SS T3 & Below,Season 3,Columbus Mew,Rotom-Mow,Gligar
ALPH,National Dex Two,Season 10,The Duffled Bags,Kommo-o,Haxorus
ALPH,National Dex Two,Season 10,Kajaani Sceptiles,Haxorus,Kommo-o
UPBA,Main,Season 7,CRIME JR BABY GANG,Corviknight,Scizor
UPBA,Main,Season 7,St. John's Sharpedoes,Scizor,Corviknight
SKL,Main,Season 8,Pepper Snakes,Machamp,Hitmonlee
SKL,Main,Season 8,United Kingdra,Hitmonlee,Machamp
ALPH T3 and Below,Main,Season 4,Ravenclaw Talon Flames,Silvally,Type:Null
ALPH T3 and Below,Main,Season 4,Glasgow Comatose,Type:Null,Silvally
All Star Premier League,SS Tier 3 and Below,Season 4,Swedish Seakings,Araquanid,Raichu-Alola
All Star Premier League,SS Tier 3 and Below,Season 4,Pepper Snakes,Raichu-Alola,Araquanid
All Star Premier League,SS Tier 3 and Below,Season 4,Swedish Seakings,Sirfetchd,Weezing
All Star Premier League,SS Tier 3 and Below,Season 4,Pepper Snakes,Weezing,Sirfetchd
All Star Premier League,SS Tier 3 and Below,Season 4,London Lucarios,Bronzong,Klefki
All Star Premier League,SS Tier 3 and Below,Season 4,Liberty Delibirds,Klefki,Bronzong
ALPH T3 and Below,Main,Season 5,Vegas Night Marchers,Hoopa,Mismagius
ALPH T3 and Below,Main,Season 5,Primarina Sonata,Mismagius,Hoopa
